bridge_id,degree,num_neighbors,buildings,bus_stops,component_increase,facility_name,importance_score,importance_rank,importance_category
BR_0383,3597,3597,0,0,0,下榎B橋,32.51693588597004,31,low
BR_0239,3132,3132,0,0,312,吉敷1号B橋,52.22781031027667,4,medium
BR_0384,3131,3131,0,0,911,朝倉橋,45.65244574829812,11,low
BR_0490,2913,2913,0,0,5,京面橋,80.0,1,high
BR_0435,2904,2904,0,0,0,昭和通り2号橋,49.7614353577324,9,low
BR_0293,2880,2880,0,0,1214,岸の下橋,36.49740380374284,23,low
BR_0210,2650,2650,0,0,0,上沼橋,32.1727682891097,32,low
BR_0396,2637,2637,0,0,0,昭和通り三号橋,42.243540084388485,17,low
BR_0204,2083,2083,0,0,0,御堀橋,34.308299811653626,26,low
BR_0614,2025,2025,0,0,0,大内御堀1号B橋,36.65081245658816,22,low
